time,Max_Power
20200114:1611,60000
20200114:1711,60000
20200114:1811,60000
20200114:1911,60000
20200114:2011,60000
20200114:2111,60000
20200114:2211,60000
20200114:2311,60000
20200115:0011,60000
20200115:0111,60000
20200115:0211,60000
20200115:0311,60000
20200115:0411,60000
20200115:0511,60000
20200115:0611,60000
20200115:0711,60000
20200115:0811,60000
20200115:0911,60000
20200115:1011,60000
20200115:1111,60000
20200115:1211,60000
20200115:1311,60000
20200115:1411,60000
20200115:1511,60000
20200115:1611,60000
20200115:1711,60000
20200115:1811,60000
20200115:1911,60000
20200115:2011,60000
20200115:2111,60000
20200115:2211,60000
20200115:2311,60000
20200116:0011,60000
20200116:0111,60000
20200116:0211,60000
20200116:0311,60000
20200116:0411,60000
20200116:0511,60000
20200116:0611,60000
20200116:0711,60000
20200116:0811,60000
20200116:0911,60000
20200116:1011,60000
20200116:1111,60000
20200116:1211,60000
20200116:1311,60000
20200116:1411,60000
20200116:1511,60000
20200116:1611,60000
20200116:1711,60000
20200116:1811,60000
20200116:1911,60000
20200116:2011,60000
20200116:2111,60000
20200116:2211,60000
20200116:2311,60000
20200117:0011,60000
20200117:0111,60000
20200117:0211,60000
20200117:0311,60000
20200117:0411,60000
20200117:0511,60000
20200117:0611,60000
20200117:0711,60000
20200117:0811,60000
20200117:0911,60000
20200117:1011,60000
20200117:1111,60000
20200117:1211,60000
20200117:1311,60000
20200117:1411,60000
20200117:1511,60000
20200117:1611,60000
20200117:1711,60000
20200117:1811,60000
20200117:1911,60000
20200117:2011,60000
20200117:2111,60000
20200117:2211,60000
20200117:2311,60000
20200118:0011,60000
20200118:0111,60000
20200118:0211,60000
20200118:0311,60000
20200118:0411,60000
20200118:0511,60000
20200118:0611,60000
20200118:0711,60000
20200118:0811,60000
20200118:0911,60000
20200118:1011,60000
20200118:1111,60000
20200118:1211,60000
20200118:1311,60000
20200118:1411,60000
20200118:1511,60000
20200118:1611,60000
20200118:1711,60000
20200118:1811,60000
20200118:1911,60000
20200118:2011,60000
20200118:2111,60000
20200118:2211,60000
20200118:2311,60000
20200119:0011,60000
20200119:0111,60000
20200119:0211,60000
20200119:0311,60000
20200119:0411,60000
20200119:0511,60000
20200119:0611,60000
20200119:0711,60000
20200119:0811,60000
20200119:0911,60000
20200119:1011,60000
20200119:1111,60000
20200119:1211,60000
20200119:1311,60000
20200119:1411,60000
20200119:1511,60000
20200119:1611,60000
20200119:1711,60000
20200119:1811,60000
20200119:1911,60000
20200119:2011,60000
20200119:2111,60000
20200119:2211,60000
20200119:2311,60000
20200120:0011,60000
20200120:0111,60000
20200120:0211,60000
20200120:0311,60000
20200120:0411,60000
20200120:0511,60000
20200120:0611,60000
20200120:0711,60000
20200120:0811,60000
20200120:0911,60000
20200120:1011,60000
20200120:1111,60000
20200120:1211,60000
20200120:1311,60000
20200120:1411,60000
20200120:1511,60000
20200120:1611,60000
20200120:1711,60000
20200120:1811,60000
20200120:1911,60000
20200120:2011,60000
20200120:2111,60000
20200120:2211,60000
20200120:2311,60000
20200121:0011,60000
20200121:0111,60000
20200121:0211,60000
20200121:0311,60000
20200121:0411,60000
20200121:0511,60000
20200121:0611,60000
20200121:0711,60000
20200121:0811,60000
20200121:0911,60000
20200121:1011,60000
20200121:1111,60000
20200121:1211,60000
20200121:1311,60000
20200121:1411,60000
20200121:1511,60000
20200121:1611,60000
20200121:1711,60000
20200121:1811,60000
20200121:1911,60000
20200121:2011,60000
20200121:2111,60000
20200121:2211,60000
20200121:2311,60000
20200122:0011,60000
20200122:0111,60000
20200122:0211,60000
20200122:0311,60000
20200122:0411,60000
20200122:0511,60000
20200122:0611,60000
20200122:0711,60000
20200122:0811,60000
20200122:0911,60000
20200122:1011,60000
20200122:1111,60000
20200122:1211,60000
20200122:1311,60000
20200122:1411,60000
20200122:1511,60000
20200122:1611,60000
20200122:1711,60000
20200122:1811,60000
20200122:1911,60000
20200122:2011,60000
20200122:2111,60000
20200122:2211,60000
20200122:2311,60000
20200123:0011,60000
20200123:0111,60000
20200123:0211,60000
20200123:0311,60000
20200123:0411,60000
20200123:0511,60000
20200123:0611,60000
20200123:0711,60000
20200123:0811,60000
20200123:0911,60000
20200123:1011,60000
20200123:1111,60000
20200123:1211,60000
20200123:1311,60000
20200123:1411,60000
20200123:1511,60000
20200123:1611,60000
20200123:1711,60000
20200123:1811,60000
20200123:1911,60000
20200123:2011,60000
20200123:2111,60000
20200123:2211,60000
20200123:2311,60000
20200124:0011,60000
20200124:0111,60000
20200124:0211,60000
20200124:0311,60000
20200124:0411,60000
20200124:0511,60000
20200124:0611,60000
20200124:0711,60000
20200124:0811,60000
20200124:0911,60000
20200124:1011,60000
20200124:1111,60000
20200124:1211,60000
20200124:1311,60000
20200124:1411,60000
20200124:1511,60000
20200124:1611,60000
20200124:1711,60000
20200124:1811,60000
20200124:1911,60000
20200124:2011,60000
20200124:2111,60000
20200124:2211,60000
20200124:2311,60000
20200125:0011,60000
20200125:0111,60000
20200125:0211,60000
20200125:0311,60000
20200125:0411,60000
20200125:0511,60000
20200125:0611,60000
20200125:0711,60000
20200125:0811,60000
20200125:0911,60000
20200125:1011,60000
20200125:1111,60000
20200125:1211,60000
20200125:1311,60000
20200125:1411,60000
20200125:1511,60000
20200125:1611,60000
20200125:1711,60000
20200125:1811,60000
20200125:1911,60000
20200125:2011,60000
20200125:2111,60000
20200125:2211,60000
20200125:2311,60000
20200126:0011,60000
20200126:0111,60000
20200126:0211,60000
20200126:0311,60000
20200126:0411,60000
20200126:0511,60000
20200126:0611,60000
20200126:0711,60000
20200126:0811,60000
20200126:0911,60000
20200126:1011,60000
20200126:1111,60000
20200126:1211,60000
20200126:1311,60000
20200126:1411,60000
20200126:1511,60000
20200126:1611,60000
20200126:1711,60000
20200126:1811,60000
20200126:1911,60000
20200126:2011,60000
20200126:2111,60000
20200126:2211,60000
20200126:2311,60000
20200127:0011,60000
20200127:0111,60000
20200127:0211,60000
20200127:0311,60000
20200127:0411,60000
20200127:0511,60000
20200127:0611,60000
20200127:0711,60000
20200127:0811,60000
20200127:0911,60000
20200127:1011,60000
20200127:1111,60000
20200127:1211,60000
20200127:1311,60000
20200127:1411,60000
20200127:1511,60000
20200127:1611,60000
20200127:1711,60000
20200127:1811,60000
20200127:1911,60000
20200127:2011,60000
20200127:2111,60000
20200127:2211,60000
20200127:2311,60000
20200128:0011,60000
20200128:0111,60000
20200128:0211,60000
20200128:0311,60000
20200128:0411,60000
20200128:0511,60000
20200128:0611,60000
20200128:0711,60000
20200128:0811,60000
20200128:0911,60000
20200128:1011,60000
20200128:1111,60000
20200128:1211,60000
20200128:1311,60000
20200128:1411,60000
20200128:1511,60000
20200128:1611,60000
20200128:1711,60000
20200128:1811,60000
20200128:1911,60000
20200128:2011,60000
20200128:2111,60000
20200128:2211,60000
20200128:2311,60000
20200129:0011,60000
20200129:0111,60000
20200129:0211,60000
20200129:0311,60000
20200129:0411,60000
20200129:0511,60000
20200129:0611,60000
20200129:0711,60000
20200129:0811,60000
20200129:0911,60000
20200129:1011,60000
20200129:1111,60000
20200129:1211,60000
20200129:1311,60000
20200129:1411,60000
20200129:1511,60000
20200129:1611,60000
20200129:1711,60000
20200129:1811,60000
20200129:1911,60000
20200129:2011,60000
20200129:2111,60000
20200129:2211,60000
20200129:2311,60000
20200130:0011,60000
20200130:0111,60000
20200130:0211,60000
20200130:0311,60000
20200130:0411,60000
20200130:0511,60000
20200130:0611,60000
20200130:0711,60000
20200130:0811,60000
20200130:0911,60000
20200130:1011,60000
20200130:1111,60000
20200130:1211,60000
20200130:1311,60000
20200130:1411,60000
20200130:1511,60000
20200130:1611,60000
20200130:1711,60000
20200130:1811,60000
20200130:1911,60000
20200130:2011,60000
20200130:2111,60000
20200130:2211,60000
20200130:2311,60000
20200131:0011,60000
20200131:0111,60000
20200131:0211,60000
20200131:0311,60000
20200131:0411,60000
20200131:0511,60000
20200131:0611,60000
20200131:0711,60000
20200131:0811,60000
20200131:0911,60000
20200131:1011,60000
20200131:1111,60000
20200131:1211,60000
20200131:1311,60000
20200131:1411,60000
20200131:1511,60000
20200131:1611,60000
20200131:1711,60000
20200131:1811,60000
20200131:1911,60000
20200131:2011,60000
20200131:2111,60000
20200131:2211,60000
20200131:2311,60000
20200201:0011,60000
20200201:0111,60000
20200201:0211,60000
20200201:0311,60000
20200201:0411,60000
20200201:0511,60000
20200201:0611,60000
20200201:0711,60000
20200201:0811,60000
20200201:0911,60000
20200201:1011,60000
20200201:1111,60000
20200201:1211,60000
20200201:1311,60000
20200201:1411,60000
20200201:1511,60000
20200201:1611,60000
20200201:1711,60000
20200201:1811,60000
20200201:1911,60000
20200201:2011,60000
20200201:2111,60000
20200201:2211,60000
20200201:2311,60000
20200202:0011,60000
20200202:0111,60000
20200202:0211,60000
20200202:0311,60000
20200202:0411,60000
20200202:0511,60000
20200202:0611,60000
20200202:0711,60000
20200202:0811,60000
20200202:0911,60000
20200202:1011,60000
20200202:1111,60000
20200202:1211,60000
20200202:1311,60000
20200202:1411,60000
20200202:1511,60000
20200202:1611,60000
20200202:1711,60000
20200202:1811,60000
20200202:1911,60000
20200202:2011,60000
20200202:2111,60000
20200202:2211,60000
20200202:2311,60000
20200203:0011,60000
20200203:0111,60000
20200203:0211,60000
20200203:0311,60000
20200203:0411,60000
20200203:0511,60000
20200203:0611,60000
20200203:0711,60000
20200203:0811,60000
20200203:0911,60000
20200203:1011,60000
20200203:1111,60000
20200203:1211,60000
20200203:1311,60000
20200203:1411,60000
20200203:1511,60000
20200203:1611,60000
20200203:1711,60000
20200203:1811,60000
20200203:1911,60000
20200203:2011,60000
20200203:2111,60000
20200203:2211,60000
20200203:2311,60000
20200204:0011,60000
20200204:0111,60000
20200204:0211,60000
20200204:0311,60000
20200204:0411,60000
20200204:0511,60000
20200204:0611,60000
20200204:0711,60000
20200204:0811,60000
20200204:0911,60000
20200204:1011,60000
20200204:1111,60000
20200204:1211,60000
20200204:1311,60000
20200204:1411,60000
20200204:1511,60000
20200204:1611,60000
20200204:1711,60000
20200204:1811,60000
20200204:1911,60000
20200204:2011,60000
20200204:2111,60000
20200204:2211,60000
20200204:2311,60000
20200205:0011,60000
20200205:0111,60000
20200205:0211,60000
20200205:0311,60000
20200205:0411,60000
20200205:0511,60000
20200205:0611,60000
20200205:0711,60000
20200205:0811,60000
20200205:0911,60000
20200205:1011,60000
20200205:1111,60000
20200205:1211,60000
20200205:1311,60000
20200205:1411,60000
20200205:1511,60000
20200205:1611,60000
20200205:1711,60000
20200205:1811,60000
20200205:1911,60000
20200205:2011,60000
20200205:2111,60000
20200205:2211,60000
20200205:2311,60000
20200206:0011,60000
20200206:0111,60000
20200206:0211,60000
20200206:0311,60000
20200206:0411,60000
20200206:0511,60000
20200206:0611,60000
20200206:0711,60000
20200206:0811,60000
20200206:0911,60000
20200206:1011,60000
20200206:1111,60000
20200206:1211,60000
20200206:1311,60000
20200206:1411,60000
20200206:1511,60000
20200206:1611,60000
20200206:1711,60000
20200206:1811,60000
20200206:1911,60000
20200206:2011,60000
20200206:2111,60000
20200206:2211,60000
20200206:2311,60000
20200207:0011,60000
20200207:0111,60000
20200207:0211,60000
20200207:0311,60000
20200207:0411,60000
20200207:0511,60000
20200207:0611,60000
20200207:0711,60000
20200207:0811,60000
20200207:0911,60000
20200207:1011,60000
20200207:1111,60000
20200207:1211,60000
20200207:1311,60000
20200207:1411,60000
20200207:1511,60000
20200207:1611,60000
20200207:1711,60000
20200207:1811,60000
20200207:1911,60000
20200207:2011,60000
20200207:2111,60000
20200207:2211,60000
20200207:2311,60000
20200208:0011,60000
20200208:0111,60000
20200208:0211,60000
20200208:0311,60000
20200208:0411,60000
20200208:0511,60000
20200208:0611,60000
20200208:0711,60000
20200208:0811,60000
20200208:0911,60000
20200208:1011,60000
20200208:1111,60000
20200208:1211,60000
20200208:1311,60000
20200208:1411,60000
20200208:1511,60000
20200208:1611,60000
20200208:1711,60000
20200208:1811,60000
20200208:1911,60000
20200208:2011,60000
20200208:2111,60000
20200208:2211,60000
20200208:2311,60000
20200209:0011,60000
20200209:0111,60000
20200209:0211,60000
20200209:0311,60000
20200209:0411,60000
20200209:0511,60000
20200209:0611,60000
20200209:0711,60000
20200209:0811,60000
20200209:0911,60000
20200209:1011,60000
20200209:1111,60000
20200209:1211,60000
20200209:1311,60000
20200209:1411,60000
20200209:1511,60000
20200209:1611,60000
20200209:1711,60000
20200209:1811,60000
20200209:1911,60000
20200209:2011,60000
20200209:2111,60000
20200209:2211,60000
20200209:2311,60000
20200210:0011,60000
20200210:0111,60000
20200210:0211,60000
20200210:0311,60000
20200210:0411,60000
20200210:0511,60000
20200210:0611,60000
20200210:0711,60000
20200210:0811,60000
20200210:0911,60000
20200210:1011,60000
20200210:1111,60000
20200210:1211,60000
20200210:1311,60000
20200210:1411,60000
20200210:1511,60000
20200210:1611,60000
20200210:1711,60000
20200210:1811,60000
20200210:1911,60000
20200210:2011,60000
20200210:2111,60000
20200210:2211,60000
20200210:2311,60000
20200211:0011,60000
20200211:0111,60000
20200211:0211,60000
20200211:0311,60000
20200211:0411,60000
20200211:0511,60000
20200211:0611,60000
20200211:0711,60000
20200211:0811,60000
20200211:0911,60000
20200211:1011,60000
20200211:1111,60000
20200211:1211,60000
20200211:1311,60000
20200211:1411,60000
20200211:1511,60000
20200211:1611,60000
20200211:1711,60000
20200211:1811,60000
20200211:1911,60000
20200211:2011,60000
20200211:2111,60000
20200211:2211,60000
20200211:2311,60000
20200212:0011,60000
20200212:0111,60000
20200212:0211,60000
20200212:0311,60000
20200212:0411,60000
20200212:0511,60000
20200212:0611,60000
20200212:0711,60000
20200212:0811,60000
20200212:0911,60000
20200212:1011,60000
20200212:1111,60000
20200212:1211,60000
20200212:1311,60000
20200212:1411,60000
20200212:1511,60000
20200212:1611,60000
20200212:1711,60000
20200212:1811,60000
20200212:1911,60000
20200212:2011,60000
20200212:2111,60000
20200212:2211,60000
20200212:2311,60000
20200213:0011,60000
20200213:0111,60000
20200213:0211,60000
20200213:0311,60000
20200213:0411,60000
20200213:0511,60000
20200213:0611,60000
20200213:0711,60000
20200213:0811,60000
20200213:0911,60000
20200213:1011,60000
20200213:1111,60000
20200213:1211,60000
20200213:1311,60000
20200213:1411,60000
20200213:1511,60000
20200213:1611,60000
20200213:1711,60000
20200213:1811,60000
20200213:1911,60000
20200213:2011,60000
20200213:2111,60000
20200213:2211,60000
20200213:2311,60000
20200214:0011,60000
20200214:0111,60000
20200214:0211,60000
20200214:0311,60000
20200214:0411,60000
20200214:0511,60000
20200214:0611,60000
20200214:0711,60000
20200214:0811,60000
20200214:0911,60000
20200214:1011,60000
20200214:1111,60000
20200214:1211,60000
20200214:1311,60000
20200214:1411,60000
20200214:1511,60000
20200214:1611,60000
20200214:1711,60000
20200214:1811,60000
20200214:1911,60000
20200214:2011,60000
20200214:2111,60000
20200214:2211,60000
20200214:2311,60000
20200215:0011,60000
20200215:0111,60000
20200215:0211,60000
20200215:0311,60000
20200215:0411,60000
20200215:0511,60000
20200215:0611,60000
20200215:0711,60000
20200215:0811,60000
20200215:0911,60000
20200215:1011,60000
20200215:1111,60000
20200215:1211,60000
20200215:1311,60000
20200215:1411,60000
20200215:1511,60000
20200215:1611,60000
20200215:1711,60000
20200215:1811,60000
20200215:1911,60000
20200215:2011,60000
20200215:2111,60000
20200215:2211,60000
20200215:2311,60000
20200216:0011,60000
20200216:0111,60000
20200216:0211,60000
20200216:0311,60000
20200216:0411,60000
20200216:0511,60000
20200216:0611,60000
20200216:0711,60000
20200216:0811,60000
20200216:0911,60000
20200216:1011,60000
20200216:1111,60000
20200216:1211,60000
20200216:1311,60000
20200216:1411,60000
20200216:1511,60000
20200216:1611,60000
20200216:1711,60000
20200216:1811,60000
20200216:1911,60000
20200216:2011,60000
20200216:2111,60000
20200216:2211,60000
20200216:2311,60000
20200217:0011,60000
20200217:0111,60000
20200217:0211,60000
20200217:0311,60000
20200217:0411,60000
20200217:0511,60000
20200217:0611,60000
20200217:0711,60000
20200217:0811,60000
20200217:0911,60000
20200217:1011,60000
20200217:1111,60000
20200217:1211,60000
20200217:1311,60000
20200217:1411,60000
20200217:1511,60000
20200217:1611,60000
20200217:1711,60000
20200217:1811,60000
20200217:1911,60000
20200217:2011,60000
20200217:2111,60000
20200217:2211,60000
20200217:2311,60000
20200218:0011,60000
20200218:0111,60000
20200218:0211,60000
20200218:0311,60000
20200218:0411,60000
20200218:0511,60000
20200218:0611,60000
20200218:0711,60000
20200218:0811,60000
20200218:0911,60000
20200218:1011,60000
20200218:1111,60000
20200218:1211,60000
20200218:1311,60000
20200218:1411,60000
20200218:1511,60000
20200218:1611,60000
20200218:1711,60000
20200218:1811,60000
20200218:1911,60000
20200218:2011,60000
20200218:2111,60000
20200218:2211,60000
20200218:2311,60000
20200219:0011,60000
20200219:0111,60000
20200219:0211,60000
20200219:0311,60000
20200219:0411,60000
20200219:0511,60000
20200219:0611,60000
20200219:0711,60000
20200219:0811,60000
20200219:0911,60000
20200219:1011,60000
20200219:1111,60000
20200219:1211,60000
20200219:1311,60000
20200219:1411,60000
20200219:1511,60000
20200219:1611,60000
20200219:1711,60000
20200219:1811,60000
20200219:1911,60000
20200219:2011,60000
20200219:2111,60000
20200219:2211,60000
20200219:2311,60000
20200220:0011,60000
20200220:0111,60000
20200220:0211,60000
20200220:0311,60000
20200220:0411,60000
20200220:0511,60000
20200220:0611,60000
20200220:0711,60000
20200220:0811,60000
20200220:0911,60000
20200220:1011,60000
20200220:1111,60000
20200220:1211,60000
20200220:1311,60000
20200220:1411,60000
20200220:1511,60000
20200220:1611,60000
20200220:1711,60000
20200220:1811,60000
20200220:1911,60000
20200220:2011,60000
20200220:2111,60000
20200220:2211,60000
20200220:2311,60000
20200221:0011,60000
20200221:0111,60000
20200221:0211,60000
20200221:0311,60000
20200221:0411,60000
20200221:0511,60000
20200221:0611,60000
20200221:0711,60000
20200221:0811,60000
20200221:0911,60000
20200221:1011,60000
20200221:1111,60000
20200221:1211,60000
20200221:1311,60000
20200221:1411,60000
20200221:1511,60000
20200221:1611,60000
20200221:1711,60000
20200221:1811,60000
20200221:1911,60000
20200221:2011,60000
20200221:2111,60000
20200221:2211,60000
20200221:2311,60000
20200222:0011,60000
20200222:0111,60000
20200222:0211,60000
20200222:0311,60000
20200222:0411,60000
20200222:0511,60000
20200222:0611,60000
20200222:0711,60000
20200222:0811,60000
20200222:0911,60000
20200222:1011,60000
20200222:1111,60000
20200222:1211,60000
20200222:1311,60000
20200222:1411,60000
20200222:1511,60000
20200222:1611,60000
20200222:1711,60000
20200222:1811,60000
20200222:1911,60000
20200222:2011,60000
20200222:2111,60000
20200222:2211,60000
20200222:2311,60000
20200223:0011,60000
20200223:0111,60000
20200223:0211,60000
20200223:0311,60000
20200223:0411,60000
20200223:0511,60000
20200223:0611,60000
20200223:0711,60000
20200223:0811,60000
20200223:0911,60000
20200223:1011,60000
20200223:1111,60000
20200223:1211,60000
20200223:1311,60000
20200223:1411,60000
20200223:1511,60000
20200223:1611,60000
20200223:1711,60000
20200223:1811,60000
20200223:1911,60000
20200223:2011,60000
20200223:2111,60000
20200223:2211,60000
20200223:2311,60000
20200224:0011,60000
20200224:0111,60000
20200224:0211,60000
20200224:0311,60000
20200224:0411,60000
20200224:0511,60000
20200224:0611,60000
20200224:0711,60000
20200224:0811,60000
20200224:0911,60000
20200224:1011,60000
20200224:1111,60000
20200224:1211,60000
20200224:1311,60000
20200224:1411,60000
20200224:1511,60000
20200224:1611,60000
20200224:1711,60000
20200224:1811,60000
20200224:1911,60000
20200224:2011,60000
20200224:2111,60000
20200224:2211,60000
20200224:2311,60000
20200225:0011,60000
20200225:0111,60000
20200225:0211,60000
20200225:0311,60000
20200225:0411,60000
20200225:0511,60000
20200225:0611,60000
20200225:0711,60000
20200225:0811,60000
20200225:0911,60000
20200225:1011,60000
20200225:1111,60000
20200225:1211,60000
20200225:1311,60000
20200225:1411,60000
20200225:1511,60000
20200225:1611,60000
20200225:1711,60000
20200225:1811,60000
20200225:1911,60000
20200225:2011,60000
20200225:2111,60000
20200225:2211,60000
20200225:2311,60000
20200226:0011,60000
20200226:0111,60000
20200226:0211,60000
20200226:0311,60000
20200226:0411,60000
20200226:0511,60000
20200226:0611,60000
20200226:0711,60000
20200226:0811,60000
20200226:0911,60000
20200226:1011,60000
20200226:1111,60000
20200226:1211,60000
20200226:1311,60000
20200226:1411,60000
20200226:1511,60000
20200226:1611,60000
20200226:1711,60000
20200226:1811,60000
20200226:1911,60000
20200226:2011,60000
20200226:2111,60000
20200226:2211,60000
20200226:2311,60000
20200227:0011,60000
20200227:0111,60000
20200227:0211,60000
20200227:0311,60000
20200227:0411,60000
20200227:0511,60000
20200227:0611,60000
20200227:0711,60000
20200227:0811,60000
20200227:0911,60000
20200227:1011,60000
20200227:1111,60000
20200227:1211,60000
20200227:1311,60000
20200227:1411,60000
20200227:1511,60000
20200227:1611,60000
20200227:1711,60000
20200227:1811,60000
20200227:1911,60000
20200227:2011,60000
20200227:2111,60000
20200227:2211,60000
20200227:2311,60000
20200228:0011,60000
20200228:0111,60000
20200228:0211,60000
20200228:0311,60000
20200228:0411,60000
20200228:0511,60000
